iter	Passed	Remaining
0	1	142
1	2	124
2	3	114
3	4	105
4	5	103
5	6	101
6	7	100
7	8	100
8	9	98
9	10	97
10	11	96
11	13	96
12	14	97
13	16	101
14	17	99
15	18	99
16	19	97
17	21	96
18	22	94
19	23	92
20	24	90
21	25	89
22	26	88
23	27	88
24	29	87
25	30	86
26	31	84
27	32	83
28	33	81
29	34	80
30	35	79
31	36	77
32	37	76
33	38	75
34	39	73
35	40	72
36	41	71
37	43	70
38	44	69
39	46	69
40	47	68
41	47	65
42	48	64
43	50	63
44	51	62
45	52	61
46	53	60
47	54	58
48	55	57
49	56	56
50	57	55
51	58	54
52	59	53
53	60	51
54	61	50
55	62	49
56	64	48
57	65	47
58	66	46
59	67	44
60	68	43
61	69	42
62	70	41
63	71	40
64	73	39
65	75	38
66	76	37
67	77	36
68	78	35
69	79	34
70	80	32
71	81	31
72	82	30
73	84	29
74	85	28
75	86	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	94	19
83	96	18
84	97	17
85	98	16
86	99	14
87	100	13
88	101	12
89	103	11
90	105	10
91	106	9
92	107	8
93	108	6
94	110	5
95	111	4
96	112	3
97	113	2
98	114	1
99	115	0
