iter	Passed	Remaining
0	122	122035
1	130	65087
2	139	46442
3	147	36738
4	157	31294
5	163	27008
6	175	24946
7	183	22761
8	191	21116
9	201	19954
10	207	18654
11	214	17687
12	222	16907
13	231	16298
14	237	15569
15	246	15170
16	252	14599
17	259	14161
18	266	13781
19	273	13422
20	281	13115
21	287	12799
22	293	12456
23	298	12150
24	308	12034
25	311	11668
26	315	11369
27	320	11139
28	323	10847
29	327	10580
30	330	10333
31	342	10365
32	346	10163
33	350	9949
34	352	9717
35	354	9497
36	356	9290
37	359	9112
38	365	9004
39	367	8824
40	370	8660
41	372	8494
42	377	8394
43	380	8265
44	382	8119
45	384	7984
46	387	7862
47	392	7780
48	395	7671
49	397	7547
50	399	7435
51	402	7342
52	407	7279
53	409	7172
54	411	7072
55	413	6977
56	416	6890
57	421	6853
58	424	6764
59	426	6681
60	428	6598
61	431	6522
62	435	6475
63	437	6404
64	440	6330
65	442	6260
66	444	6189
67	449	6158
68	452	6109
69	454	6044
70	457	5982
71	459	5921
72	464	5903
73	467	5848
74	469	5792
75	471	5738
76	474	5689
77	482	5699
78	484	5652
79	487	5607
80	491	5577
81	498	5575
82	499	5518
83	502	5477
84	503	5425
85	511	5438
86	514	5397
87	516	5353
88	518	5308
89	523	5296
90	526	5259
91	528	5216
92	530	5171
93	531	5127
94	533	5083
95	536	5054
96	540	5034
97	542	4993
98	544	4951
99	545	4912
100	547	4874
101	549	4841
102	553	4818
103	555	4782
104	556	4747
105	558	4711
106	560	4676
107	562	4642
108	564	4615
109	569	4610
110	571	4577
111	572	4542
112	574	4507
113	575	4476
114	577	4444
115	581	4430
116	584	4408
117	585	4377
118	587	4345
119	588	4317
120	590	4287
121	591	4256
122	593	4234
123	598	4229
124	600	4201
125	601	4173
126	602	4144
127	604	4116
128	605	4090
129	607	4064
130	610	4051
131	613	4034
132	614	4008
133	616	3984
134	617	3959
135	619	3934
136	620	3909
137	622	3887
138	625	3872
139	629	3868
140	631	3846
141	632	3821
142	633	3799
143	635	3778
144	638	3766
145	641	3753
146	643	3732
147	644	3710
148	646	3689
149	647	3669
150	649	3649
151	650	3630
152	652	3614
153	656	3609
154	659	3595
155	661	3577
156	662	3559
157	664	3540
158	666	3524
159	671	3525
160	672	3505
161	674	3488
162	675	3470
163	677	3453
164	679	3437
165	680	3420
166	683	3408
167	688	3407
168	689	3391
169	691	3374
170	692	3358
171	694	3342
172	696	3328
173	699	3322
174	701	3309
175	703	3294
176	704	3277
177	706	3263
178	708	3247
179	709	3231
180	711	3221
181	716	3221
182	718	3206
183	719	3191
184	721	3177
185	723	3164
186	724	3150
187	727	3141
188	730	3133
189	731	3119
190	733	3105
191	734	3091
192	736	3077
193	737	3063
194	738	3050
195	741	3042
196	745	3038
197	748	3029
198	749	3016
199	750	3003
200	752	2991
201	753	2978
202	756	2968
203	760	2966
204	761	2953
205	763	2941
206	764	2929
207	766	2918
208	767	2905
209	769	2894
210	773	2891
211	775	2883
212	777	2871
213	778	2858
214	779	2847
215	781	2835
216	783	2825
217	785	2819
218	788	2812
219	790	2803
220	792	2792
221	793	2782
222	795	2770
223	796	2760
224	798	2749
225	800	2741
226	804	2739
227	805	2729
228	807	2718
229	809	2709
230	810	2699
231	812	2689
232	815	2683
233	818	2679
234	820	2669
235	821	2660
236	823	2650
237	824	2639
238	825	2629
239	827	2621
240	831	2618
241	833	2611
242	835	2602
243	837	2593
244	838	2583
245	839	2574
246	841	2564
247	844	2559
248	846	2554
249	848	2545
250	850	2536
251	851	2527
252	853	2518
253	854	2510
254	856	2501
255	858	2495
256	862	2493
257	864	2485
258	865	2477
259	867	2469
260	869	2461
261	871	2454
262	874	2451
263	877	2445
264	878	2437
265	880	2428
266	881	2419
267	882	2411
268	884	2404
269	888	2402
270	891	2398
271	893	2390
272	894	2382
273	896	2375
274	898	2367
275	902	2367
276	904	2361
277	906	2353
278	907	2346
279	909	2338
280	910	2330
281	912	2323
282	915	2319
283	919	2319
284	921	2312
285	923	2305
286	925	2298
287	926	2290
288	928	2283
289	933	2284
290	935	2278
291	936	2270
